Country Name,Country Code,Time,Time Code,edu_f_bach,edu_f_lsec,edu_f_psec,edu_f_prim,edu_f_stert,edu_m_bach,edu_m_lsec,edu_m_psec,edu_m_prim,edu_m_stert,edu_f_usec,edu_m_usec
Afghanistan,AFG,1987,YR1987,,,,,,,,,,,,
Afghanistan,AFG,1988,YR1988,,,,,,,,,,,,
Afghanistan,AFG,1989,YR1989,,,,,,,,,,,,
Afghanistan,AFG,1990,YR1990,,,,,,,,,,,,
Afghanistan,AFG,1991,YR1991,,,,,,,,,,,,
Afghanistan,AFG,1992,YR1992,,,,,,,,,,,,
Afghanistan,AFG,1993,YR1993,,,,,,,,,,,,
Afghanistan,AFG,1994,YR1994,,,,,,,,,,,,
Afghanistan,AFG,1995,YR1995,,,,,,,,,,,,
Afghanistan,AFG,1996,YR1996,,,,,,,,,,,,
Afghanistan,AFG,1997,YR1997,,,,,,,,,,,,
Afghanistan,AFG,1998,YR1998,,,,,,,,,,,,
Afghanistan,AFG,1999,YR1999,,,,,,,,,,,,
Afghanistan,AFG,2000,YR2000,,,,,,,,,,,,
Afghanistan,AFG,2001,YR2001,,,,,,,,,,,,
Afghanistan,AFG,2002,YR2002,,,,,,,,,,,,
Afghanistan,AFG,2003,YR2003,,,,,,,,,,,,
Afghanistan,AFG,2004,YR2004,,,,,,,,,,,,
Afghanistan,AFG,2005,YR2005,,,,,,,,,,,,
Afghanistan,AFG,2006,YR2006,,,,,,,,,,,,
Afghanistan,AFG,2007,YR2007,,,,,,,,,,,,
Afghanistan,AFG,2008,YR2008,,,,,,,,,,,,
Afghanistan,AFG,2009,YR2009,,,,,,,,,,,,
Afghanistan,AFG,2010,YR2010,,,,,,,,,,,,
Afghanistan,AFG,2011,YR2011,,,,,,,,,,,,
Albania,ALB,1987,YR1987,,,,,,,,,,,,
Albania,ALB,1988,YR1988,,,,,,,,,,,,
Albania,ALB,1989,YR1989,,,,,,,,,,,,
Albania,ALB,1990,YR1990,,,,,,,,,,,,
Albania,ALB,1991,YR1991,,,,,,,,,,,,
Albania,ALB,1992,YR1992,,,,,,,,,,,,
Albania,ALB,1993,YR1993,,,,,,,,,,,,
Albania,ALB,1994,YR1994,,,,,,,,,,,,
Albania,ALB,1995,YR1995,,,,,,,,,,,,
Albania,ALB,1996,YR1996,,,,,,,,,,,,
Albania,ALB,1997,YR1997,,,,,,,,,,,,
Albania,ALB,1998,YR1998,,,,,,,,,,,,
Albania,ALB,1999,YR1999,,,,,,,,,,,,
Albania,ALB,2000,YR2000,,,,,,,,,,,,
Albania,ALB,2001,YR2001,5.66422987,70.99655151,,88.01960754,5.66422987,9.22838974,80.57055664,,94.84628296,9.22838974,32.11785126,42.07490158
Albania,ALB,2002,YR2002,,,,,,,,,,,,
Albania,ALB,2003,YR2003,,,,,,,,,,,,
Albania,ALB,2004,YR2004,,,,,,,,,,,,
Albania,ALB,2005,YR2005,,,,,,,,,,,,
Albania,ALB,2006,YR2006,,,,,,,,,,,,
Albania,ALB,2007,YR2007,,,,,,,,,,,,
Albania,ALB,2008,YR2008,8.113030434,78.76183319,,90.0831604,8.113030434,11.70734978,85.03417206,,94.96353912,11.70734978,35.29288101,44.99317932
Albania,ALB,2009,YR2009,,,,,,,,,,,,
Albania,ALB,2010,YR2010,,,,,,,,,,,,
Albania,ALB,2011,YR2011,11.49969959,82.15252686,,94.43134308,11.49969959,12.52385998,88.41181946,,97.31516266,12.52385998,38.72537994,48.42879105
Algeria,DZA,1987,YR1987,,,,,,,,,,,,
Algeria,DZA,1988,YR1988,,,,,,,,,,,,
Algeria,DZA,1989,YR1989,,,,,,,,,,,,
Algeria,DZA,1990,YR1990,,,,,,,,,,,,
Algeria,DZA,1991,YR1991,,,,,,,,,,,,
Algeria,DZA,1992,YR1992,,,,,,,,,,,,
Algeria,DZA,1993,YR1993,,,,,,,,,,,,
Algeria,DZA,1994,YR1994,,,,,,,,,,,,
Algeria,DZA,1995,YR1995,,,,,,,,,,,,
Algeria,DZA,1996,YR1996,,,,,,,,,,,,
Algeria,DZA,1997,YR1997,,,,,,,,,,,,
Algeria,DZA,1998,YR1998,,,,,,,,,,,,
Algeria,DZA,1999,YR1999,,,,,,,,,,,,
Algeria,DZA,2000,YR2000,,,,,,,,,,,,
Algeria,DZA,2001,YR2001,,,,,,,,,,,,
Algeria,DZA,2002,YR2002,,,,,,,,,,,,
Algeria,DZA,2003,YR2003,,,,,,,,,,,,
Algeria,DZA,2004,YR2004,,,,,,,,,,,,
Algeria,DZA,2005,YR2005,,,,,,,,,,,,
Algeria,DZA,2006,YR2006,,38.4552002,,54.47328949,6.652090073,,54.6606102,,74.24552155,8.654999733,20.89734077,27.38199043
Algeria,DZA,2007,YR2007,,,,,,,,,,,,
Algeria,DZA,2008,YR2008,,39.53562164,,55.18846893,7.393569946,,55.00341034,,73.47075653,8.663330078,22.74523926,28.06340027
Algeria,DZA,2009,YR2009,,,,,,,,,,,,
Algeria,DZA,2010,YR2010,,,,,,,,,,,,
Algeria,DZA,2011,YR2011,,,,,,,,,,,,
American Samoa,ASM,1987,YR1987,,,,,,,,,,,,
American Samoa,ASM,1988,YR1988,,,,,,,,,,,,
American Samoa,ASM,1989,YR1989,,,,,,,,,,,,
American Samoa,ASM,1990,YR1990,,80.5,20,80.5,,,82.06684875,25.0922699,82.06684875,,,
American Samoa,ASM,1991,YR1991,,,,,,,,,,,,
American Samoa,ASM,1992,YR1992,,,,,,,,,,,,
American Samoa,ASM,1993,YR1993,,,,,,,,,,,,
American Samoa,ASM,1994,YR1994,,,,,,,,,,,,
American Samoa,ASM,1995,YR1995,,,,,,,,,,,,
American Samoa,ASM,1996,YR1996,,,,,,,,,,,,
American Samoa,ASM,1997,YR1997,,,,,,,,,,,,
American Samoa,ASM,1998,YR1998,,,,,,,,,,,,
American Samoa,ASM,1999,YR1999,,,,,,,,,,,,
American Samoa,ASM,2000,YR2000,,,,,,,,,,,,
American Samoa,ASM,2001,YR2001,,,,,,,,,,,,
American Samoa,ASM,2002,YR2002,,,,,,,,,,,,
American Samoa,ASM,2003,YR2003,,,,,,,,,,,,
American Samoa,ASM,2004,YR2004,,,,,,,,,,,,
American Samoa,ASM,2005,YR2005,,,,,,,,,,,,
American Samoa,ASM,2006,YR2006,,,,,,,,,,,,
American Samoa,ASM,2007,YR2007,,,,,,,,,,,,
American Samoa,ASM,2008,YR2008,,,,,,,,,,,,
American Samoa,ASM,2009,YR2009,,,,,,,,,,,,
American Samoa,ASM,2010,YR2010,,,,,,,,,,,,
American Samoa,ASM,2011,YR2011,,,,,,,,,,,,
Andorra,AND,1987,YR1987,,,,,,,,,,,,
Andorra,AND,1988,YR1988,,,,,,,,,,,,
Andorra,AND,1989,YR1989,,,,,,,,,,,,
Andorra,AND,1990,YR1990,,,,,,,,,,,,
Andorra,AND,1991,YR1991,,,,,,,,,,,,
Andorra,AND,1992,YR1992,,,,,,,,,,,,
Andorra,AND,1993,YR1993,,,,,,,,,,,,
Andorra,AND,1994,YR1994,,,,,,,,,,,,
Andorra,AND,1995,YR1995,,,,,,,,,,,,
Andorra,AND,1996,YR1996,,,,,,,,,,,,
Andorra,AND,1997,YR1997,,,,,,,,,,,,
Andorra,AND,1998,YR1998,,,,,,,,,,,,
Andorra,AND,1999,YR1999,,,,,,,,,,,,
Andorra,AND,2000,YR2000,,,,,,,,,,,,
