ccode,Year(s) Under Review,year,rank
700,Afghanistan,1987,NF
700,Afghanistan,1988,NF
700,Afghanistan,1989,NF
700,Afghanistan,1990,NF
700,Afghanistan,1991,NF
700,Afghanistan,1992,NF
700,Afghanistan,1993,NF
700,Afghanistan,1994,NF
700,Afghanistan,1995,NF
700,Afghanistan,1996,NF
700,Afghanistan,1997,NF
700,Afghanistan,1998,NF
700,Afghanistan,1999,NF
700,Afghanistan,2000,NF
700,Afghanistan,2001,NF
700,Afghanistan,2002,NF
700,Afghanistan,2003,NF
700,Afghanistan,2004,NF
700,Afghanistan,2005,NF
700,Afghanistan,2006,NF
700,Afghanistan,2007,NF
700,Afghanistan,2008,NF
700,Afghanistan,2009,NF
339,Albania,1987,NF
339,Albania,1988,NF
339,Albania,1989,PF
339,Albania,1990,PF
339,Albania,1991,PF
339,Albania,1992,PF
339,Albania,1993,PF
339,Albania,1994,PF
339,Albania,1995,PF
339,Albania,1996,PF
339,Albania,1997,PF
339,Albania,1998,PF
339,Albania,1999,PF
339,Albania,2000,PF
339,Albania,2001,PF
339,Albania,2002,PF
339,Albania,2003,PF
339,Albania,2004,PF
339,Albania,2005,PF
339,Albania,2006,PF
339,Albania,2007,PF
339,Albania,2008,PF
339,Albania,2009,PF
615,Algeria,1987,PF
615,Algeria,1988,PF
615,Algeria,1989,PF
615,Algeria,1990,PF
615,Algeria,1991,NF
615,Algeria,1992,NF
615,Algeria,1993,NF
615,Algeria,1994,NF
615,Algeria,1995,NF
615,Algeria,1996,NF
615,Algeria,1997,NF
615,Algeria,1998,PF
615,Algeria,1999,PF
615,Algeria,2000,PF
615,Algeria,2001,PF
615,Algeria,2002,PF
615,Algeria,2003,NF
615,Algeria,2004,NF
615,Algeria,2005,NF
615,Algeria,2006,NF
615,Algeria,2007,NF
615,Algeria,2008,NF
615,Algeria,2009,NF
232,Andorra,1987,NA
232,Andorra,1988,NA
232,Andorra,1989,NA
232,Andorra,1990,NA
232,Andorra,1991,NA
232,Andorra,1992,NA
232,Andorra,1993,F
232,Andorra,1994,F
232,Andorra,1995,F
232,Andorra,1996,F
232,Andorra,1997,F
232,Andorra,1998,F
232,Andorra,1999,F
232,Andorra,2000,F
232,Andorra,2001,F
232,Andorra,2002,F
232,Andorra,2003,F
232,Andorra,2004,F
232,Andorra,2005,F
232,Andorra,2006,F
232,Andorra,2007,F
232,Andorra,2008,F
232,Andorra,2009,F
540,Angola,1987,NF
540,Angola,1988,NF
540,Angola,1989,NF
540,Angola,1990,NF
540,Angola,1991,NF
540,Angola,1992,NF
540,Angola,1993,NF
540,Angola,1994,NF
540,Angola,1995,NF
540,Angola,1996,NF
540,Angola,1997,NF
540,Angola,1998,NF
540,Angola,1999,NF
540,Angola,2000,NF
540,Angola,2001,NF
540,Angola,2002,PF
540,Angola,2003,NF
540,Angola,2004,NF
540,Angola,2005,NF
540,Angola,2006,NF
540,Angola,2007,NF
540,Angola,2008,NF
540,Angola,2009,NF
58,Antigua and Barbuda,1987,F
58,Antigua and Barbuda,1988,NF
58,Antigua and Barbuda,1989,NF
58,Antigua and Barbuda,1990,PF
58,Antigua and Barbuda,1991,PF
58,Antigua and Barbuda,1992,PF
58,Antigua and Barbuda,1993,PF
58,Antigua and Barbuda,1994,PF
58,Antigua and Barbuda,1995,PF
58,Antigua and Barbuda,1996,PF
58,Antigua and Barbuda,1997,PF
58,Antigua and Barbuda,1998,PF
58,Antigua and Barbuda,1999,PF
58,Antigua and Barbuda,2000,PF
58,Antigua and Barbuda,2001,NF
58,Antigua and Barbuda,2002,F
58,Antigua and Barbuda,2003,F
58,Antigua and Barbuda,2004,F
58,Antigua and Barbuda,2005,F
58,Antigua and Barbuda,2006,F
58,Antigua and Barbuda,2007,F
58,Antigua and Barbuda,2008,F
58,Antigua and Barbuda,2009,F
160,Argentina,1987,F
160,Argentina,1988,F
160,Argentina,1989,F
160,Argentina,1990,F
