year,ccode
2007,2
2007,20
2007,31
2007,40
2007,41
2007,42
2007,51
2007,52
2007,53
2007,54
2007,55
2007,56
2007,57
2007,58
2007,60
2007,70
2007,80
2007,90
2007,91
2007,92
2007,93
2007,94
2007,95
2007,100
2007,101
2007,110
2007,115
2007,130
2007,135
2007,140
2007,145
2007,150
2007,155
2007,160
2007,165
2007,200
2007,205
2007,210
2007,211
2007,212
2007,220
2007,221
2007,223
2007,225
2007,230
2007,232
2007,235
2007,240
2007,245
2007,255
2007,260
2007,265
2007,267
2007,269
2007,271
2007,273
2007,275
2007,280
2007,290
2007,300
2007,305
2007,310
2007,315
2007,316
2007,317
2007,325
2007,327
2007,329
2007,331
2007,332
2007,335
2007,337
2007,338
2007,339
2007,343
2007,344
2007,345
2007,346
2007,349
2007,350
2007,352
2007,355
2007,359
2007,360
2007,365
2007,366
2007,367
2007,368
2007,369
2007,370
2007,371
2007,372
2007,373
2007,375
2007,380
2007,385
2007,390
2007,395
2007,402
2007,403
2007,404
2007,411
2007,420
2007,432
2007,433
2007,434
2007,435
2007,436
2007,437
2007,438
2007,439
2007,450
2007,451
2007,452
2007,461
2007,471
2007,475
2007,481
2007,482
2007,483
2007,484
2007,490
2007,500
2007,501
2007,510
2007,511
2007,516
2007,517
2007,520
2007,522
2007,530
2007,531
2007,540
2007,541
2007,551
2007,552
2007,553
2007,560
2007,565
2007,570
2007,571
2007,572
2007,580
2007,581
2007,590
2007,591
2007,600
2007,615
2007,616
2007,620
2007,625
2007,630
2007,640
2007,645
2007,651
2007,652
2007,660
2007,663
2007,666
2007,670
2007,678
2007,679
2007,680
2007,690
2007,692
2007,694
2007,696
2007,698
2007,700
2007,701
2007,702
2007,703
2007,704
2007,705
2007,710
2007,712
2007,713
2007,730
2007,731
2007,732
2007,740
2007,750
2007,760
2007,770
2007,771
2007,775
2007,780
2007,781
2007,790
2007,800
2007,811
2007,812
2007,816
2007,817
2007,820
2007,830
2007,835
2007,840
2007,850
2007,860
2007,900
2007,910
2007,920
2007,935
2007,940
2007,946
2007,947
2007,950
2007,955
2007,970
2007,983
2007,986
2007,987
2007,990
2008,2
2008,20
2008,31
2008,40
2008,41
2008,42
2008,51
2008,52
2008,53
2008,54
2008,55
2008,56
2008,57
2008,58
2008,60
2008,70
2008,80
2008,90
2008,91
2008,92
2008,93
2008,94
2008,95
2008,100
2008,101
2008,110
2008,115
2008,130
2008,135
2008,140
2008,145
2008,150
2008,155
2008,160
2008,165
2008,200
2008,205
2008,210
2008,211
2008,212
2008,220
2008,221
2008,223
2008,225
2008,230
2008,232
2008,235
2008,240
2008,245
2008,255
2008,260
2008,265
2008,267
2008,269
2008,271
2008,273
2008,275
2008,280
2008,290
2008,300
2008,305
2008,310
2008,315
2008,316
2008,317
2008,325
2008,327
2008,329
2008,331
2008,332
2008,335
2008,337
2008,338
2008,339
2008,343
2008,344
2008,345
2008,346
2008,349
2008,350
2008,352
2008,355
2008,359
2008,360
2008,365
2008,366
2008,367
2008,368
2008,369
2008,370
2008,371
2008,372
2008,373
2008,375
2008,380
2008,385
2008,390
2008,395
2008,402
2008,403
2008,404
2008,411
2008,420
2008,432
2008,433
2008,434
2008,435
2008,436
2008,437
2008,438
2008,439
2008,450
2008,451
2008,452
2008,461
2008,471
2008,475
2008,481
2008,482
2008,483
2008,484
2008,490
2008,500
2008,501
2008,510
2008,511
2008,516
2008,517
2008,520
2008,522
2008,530
2008,531
2008,540
2008,541
2008,551
2008,552
2008,553
2008,560
2008,565
2008,570
2008,571
2008,572
2008,580
2008,581
2008,590
2008,591
2008,600
2008,615
2008,616
2008,620
2008,625
2008,630
2008,640
2008,645
2008,651
2008,652
2008,660
2008,663
2008,666
2008,670
2008,678
2008,679
2008,680
2008,690
2008,692
2008,694
2008,696
2008,698
2008,700
2008,701
2008,702
2008,703
2008,704
2008,705
2008,710
2008,712
2008,713
2008,730
2008,731
2008,732
2008,740
2008,750
2008,760
2008,770
2008,771
2008,775
2008,780
2008,781
2008,790
2008,800
2008,811
2008,812
2008,816
2008,817
2008,820
2008,830
2008,835
2008,840
2008,850
2008,860
2008,900
2008,910
2008,920
2008,935
2008,940
2008,946
2008,947
2008,950
2008,955
2008,970
2008,983
2008,986
2008,987
2008,990
2009,2
2009,20
2009,31
2009,40
2009,41
2009,42
2009,51
2009,52
2009,53
2009,54
2009,55
2009,56
2009,57
2009,58
2009,60
2009,70
2009,80
2009,90
2009,91
2009,92
2009,93
2009,94
2009,95
2009,100
2009,101
2009,110
2009,115
2009,130
2009,135
2009,140
2009,145
2009,150
2009,155
2009,160
2009,165
2009,200
2009,205
2009,210
2009,211
2009,212
2009,220
2009,221
2009,223
2009,225
2009,230
2009,232
2009,235
2009,240
2009,245
2009,255
2009,260
2009,265
2009,267
2009,269
2009,271
2009,273
2009,275
2009,280
2009,290
2009,300
2009,305
2009,310
2009,315
2009,316
2009,317
2009,325
2009,327
2009,329
2009,331
2009,332
2009,335
2009,337
2009,338
2009,339
2009,343
2009,344
2009,345
2009,346
2009,349
2009,350
2009,352
2009,355
2009,359
2009,360
2009,365
2009,366
2009,367
2009,368
2009,369
2009,370
2009,371
2009,372
2009,373
2009,375
2009,380
2009,385
2009,390
2009,395
2009,402
2009,403
2009,404
2009,411
2009,420
2009,432
2009,433
2009,434
2009,435
2009,436
2009,437
2009,438
2009,439
2009,450
2009,451
2009,452
2009,461
2009,471
2009,475
2009,481
2009,482
2009,483
2009,484
2009,490
2009,500
2009,501
2009,510
2009,511
2009,516
2009,517
2009,520
2009,522
2009,530
2009,531
2009,540
2009,541
2009,551
2009,552
2009,553
2009,560
2009,565
2009,570
2009,571
2009,572
2009,580
2009,581
2009,590
2009,591
2009,600
2009,615
2009,616
2009,620
2009,625
2009,630
2009,640
2009,645
2009,651
2009,652
2009,660
2009,663
2009,666
2009,670
2009,678
2009,679
2009,680
2009,690
2009,692
2009,694
2009,696
2009,698
2009,700
2009,701
2009,702
2009,703
2009,704
2009,705
2009,710
2009,712
2009,713
2009,730
2009,731
2009,732
2009,740
2009,750
2009,760
2009,770
2009,771
2009,775
2009,780
2009,781
2009,790
2009,800
2009,811
2009,812
2009,816
2009,817
2009,820
2009,830
2009,835
2009,840
2009,850
2009,860
2009,900
2009,910
2009,920
2009,935
2009,940
2009,946
2009,947
2009,950
2009,955
2009,970
2009,983
2009,986
2009,987
2009,990
2010,2
2010,20
2010,31
2010,40
2010,41
2010,42
2010,51
2010,52
2010,53
2010,54
2010,55
2010,56
2010,57
2010,58
2010,60
2010,70
2010,80
2010,90
2010,91
2010,92
2010,93
2010,94
2010,95
2010,100
2010,101
2010,110
2010,115
2010,130
2010,135
2010,140
2010,145
2010,150
2010,155
2010,160
2010,165
2010,200
2010,205
2010,210
2010,211
2010,212
2010,220
2010,221
2010,223
2010,225
2010,230
2010,232
2010,235
2010,240
2010,245
2010,255
2010,260
2010,265
2010,267
2010,269
2010,271
2010,273
2010,275
2010,280
2010,290
2010,300
2010,305
2010,310
2010,315
2010,316
2010,317
2010,325
2010,327
2010,329
2010,331
2010,332
2010,335
2010,337
2010,338
2010,339
2010,343
2010,344
2010,345
2010,346
2010,349
2010,350
2010,352
2010,355
2010,359
2010,360
2010,365
2010,366
2010,367
2010,368
2010,369
2010,370
2010,371
2010,372
2010,373
2010,375
2010,380
2010,385
2010,390
2010,395
2010,402
2010,403
2010,404
2010,411
2010,420
2010,432
2010,433
2010,434
2010,435
2010,436
2010,437
2010,438
2010,439
2010,450
2010,451
2010,452
2010,461
2010,471
2010,475
2010,481
2010,482
2010,483
2010,484
2010,490
2010,500
2010,501
2010,510
2010,511
2010,516
2010,517
2010,520
2010,522
2010,530
2010,531
2010,540
2010,541
2010,551
2010,552
2010,553
2010,560
2010,565
2010,570
2010,571
2010,572
2010,580
2010,581
2010,590
2010,591
2010,600
2010,615
2010,616
2010,620
2010,625
2010,630
2010,640
2010,645
2010,651
2010,652
2010,660
2010,663
2010,666
2010,670
2010,678
2010,679
2010,680
2010,690
2010,692
2010,694
2010,696
2010,698
2010,700
2010,701
2010,702
2010,703
2010,704
2010,705
2010,710
2010,712
2010,713
2010,730
2010,731
2010,732
2010,740
2010,750
2010,760
2010,770
2010,771
2010,775
2010,780
2010,781
2010,790
2010,800
2010,811
2010,812
2010,816
2010,817
2010,820
2010,830
2010,835
2010,840
2010,850
2010,860
2010,900
2010,910
2010,920
2010,935
2010,940
2010,946
2010,947
2010,950
2010,955
2010,970
2010,983
2010,986
2010,987
2010,990
2011,2
2011,20
2011,31
2011,40
2011,41
2011,42
2011,51
2011,52
2011,53
2011,54
2011,55
2011,56
2011,57
2011,58
2011,60
2011,70
2011,80
2011,90
2011,91
2011,92
2011,93
2011,94
2011,95
2011,100
2011,101
2011,110
2011,115
2011,130
2011,135
2011,140
2011,145
2011,150
2011,155
2011,160
2011,165
2011,200
2011,205
2011,210
2011,211
2011,212
2011,220
2011,221
2011,223
2011,225
2011,230
2011,232
2011,235
2011,240
2011,245
2011,255
2011,260
2011,265
2011,267
2011,269
2011,271
2011,273
2011,275
2011,280
2011,290
2011,300
2011,305
2011,310
2011,315
2011,316
2011,317
2011,325
2011,327
2011,329
2011,331
2011,332
2011,335
2011,337
2011,338
2011,339
2011,343
2011,344
2011,345
2011,346
2011,349
2011,350
2011,352
2011,355
2011,359
2011,360
2011,365
2011,366
2011,367
2011,368
2011,369
2011,370
2011,371
2011,372
2011,373
2011,375
2011,380
2011,385
2011,390
2011,395
2011,402
2011,403
2011,404
2011,411
2011,420
2011,432
2011,433
2011,434
2011,435
2011,436
2011,437
2011,438
2011,439
2011,450
2011,451
2011,452
2011,461
2011,471
2011,475
2011,481
2011,482
2011,483
2011,484
2011,490
2011,500
2011,501
2011,510
2011,511
2011,516
2011,517
2011,520
2011,522
2011,530
2011,531
2011,540
2011,541
2011,551
2011,552
2011,553
2011,560
2011,565
2011,570
2011,571
2011,572
2011,580
2011,581
2011,590
2011,591
2011,600
2011,615
2011,616
2011,620
2011,625
2011,630
2011,640
2011,645
2011,651
2011,652
2011,660
2011,663
2011,666
2011,670
2011,678
2011,679
2011,680
2011,690
2011,692
2011,694
2011,696
2011,698
2011,700
2011,701
2011,702
2011,703
2011,704
2011,705
2011,710
2011,712
2011,713
2011,730
2011,731
2011,732
2011,740
2011,750
2011,760
2011,770
2011,771
2011,775
2011,780
2011,781
2011,790
2011,800
2011,811
2011,812
2011,816
2011,817
2011,820
2011,830
2011,835
2011,840
2011,850
2011,860
2011,900
2011,910
2011,920
2011,935
2011,940
2011,946
2011,947
2011,950
2011,955
2011,970
2011,983
2011,986
2011,987
2011,990
2012,2
2012,20
2012,31
2012,40
2012,41
2012,42
2012,51
2012,52
2012,53
2012,54
2012,55
2012,56
2012,57
2012,58
2012,60
2012,70
2012,80
2012,90
2012,91
2012,92
2012,93
2012,94
2012,95
2012,100
2012,101
2012,110
2012,115
2012,130
2012,135
2012,140
2012,145
2012,150
2012,155
2012,160
2012,165
2012,200
2012,205
2012,210
2012,211
2012,212
2012,220
2012,221
2012,223
2012,225
2012,230
2012,232
2012,235
2012,240
2012,245
2012,255
2012,260
2012,265
2012,267
2012,269
2012,271
2012,273
2012,275
2012,280
2012,290
2012,300
2012,305
2012,310
2012,315
2012,316
2012,317
2012,325
2012,327
2012,329
2012,331
2012,332
2012,335
2012,337
2012,338
2012,339
2012,343
2012,344
2012,345
2012,346
2012,349
2012,350
2012,352
2012,355
2012,359
2012,360
2012,365
2012,366
2012,367
2012,368
2012,369
2012,370
2012,371
2012,372
2012,373
2012,375
2012,380
2012,385
2012,390
2012,395
2012,402
2012,403
2012,404
2012,411
2012,420
2012,432
2012,433
2012,434
2012,435
2012,436
2012,437
2012,438
2012,439
2012,450
2012,451
2012,452
2012,461
2012,471
2012,475
2012,481
2012,482
2012,483
2012,484
2012,490
2012,500
2012,501
2012,510
2012,511
2012,516
2012,517
2012,520
2012,522
2012,530
2012,531
2012,540
2012,541
2012,551
2012,552
2012,553
2012,560
2012,565
2012,570
2012,571
2012,572
2012,580
2012,581
2012,590
2012,591
2012,600
2012,615
2012,616
2012,620
2012,625
2012,630
2012,640
2012,645
2012,651
2012,652
2012,660
2012,663
2012,666
2012,670
2012,678
2012,679
2012,680
2012,690
2012,692
2012,694
2012,696
2012,698
2012,700
2012,701
2012,702
2012,703
2012,704
2012,705
2012,710
2012,712
2012,713
2012,730
2012,731
2012,732
2012,740
2012,750
2012,760
2012,770
2012,771
2012,775
2012,780
2012,781
2012,790
2012,800
2012,811
2012,812
2012,816
2012,817
2012,820
2012,830
2012,835
2012,840
2012,850
2012,860
2012,900
2012,910
2012,920
2012,935
2012,940
2012,946
2012,947
2012,950
2012,955
2012,970
2012,983
2012,986
2012,987
2012,990
2013,2
2013,20
2013,31
2013,40
2013,41
2013,42
2013,51
2013,52
2013,53
2013,54
2013,55
2013,56
2013,57
2013,58
2013,60
2013,70
2013,80
2013,90
2013,91
2013,92
2013,93
2013,94
2013,95
2013,100
2013,101
2013,110
2013,115
2013,130
2013,135
2013,140
2013,145
2013,150
2013,155
2013,160
2013,165
2013,200
2013,205
2013,210
2013,211
2013,212
2013,220
2013,221
2013,223
2013,225
2013,230
2013,232
2013,235
2013,240
2013,245
2013,255
2013,260
2013,265
2013,267
2013,269
2013,271
2013,273
2013,275
2013,280
2013,290
2013,300
2013,305
2013,310
2013,315
2013,316
2013,317
2013,325
2013,327
2013,329
2013,331
2013,332
2013,335
2013,337
2013,338
2013,339
2013,343
2013,344
2013,345
2013,346
2013,349
2013,350
2013,352
2013,355
2013,359
2013,360
2013,365
2013,366
2013,367
2013,368
2013,369
2013,370
2013,371
2013,372
2013,373
2013,375
2013,380
2013,385
2013,390
2013,395
2013,402
2013,403
2013,404
2013,411
2013,420
2013,432
2013,433
2013,434
2013,435
2013,436
2013,437
2013,438
2013,439
2013,450
2013,451
2013,452
2013,461
2013,471
2013,475
2013,481
2013,482
2013,483
2013,484
2013,490
2013,500
2013,501
2013,510
2013,511
2013,516
2013,517
2013,520
2013,522
2013,530
2013,531
2013,540
2013,541
2013,551
2013,552
2013,553
2013,560
2013,565
2013,570
2013,571
2013,572
2013,580
2013,581
2013,590
2013,591
2013,600
2013,615
2013,616
2013,620
2013,625
